version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Mumbai Indians
info,gender,male
info,season,2026
info,date,2026/04/07
info,event,Indian Premier League
info,match_number,13
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,YBK Jaiswal
info,umpire,HDPK Dharmasena
info,umpire,M Krishnadas
info,reserve_umpire,K Swaroopanand
info,tv_umpire,VK Sharma
info,match_referee,V Narayan Kutty
info,winner,Rajasthan Royals
info,winner_runs,27
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,TU Deshpande
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Mumbai Indians,AM Ghazanfar
info,player,Mumbai Indians,RD Rickelton
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,SE Rutherford
info,player,Mumbai Indians,SN Thakur
info,player,Mumbai Indians,DL Chahar
info,player,Mumbai Indians,TA Boult
info,player,Mumbai Indians,JJ Bumrah
info,registry,people,AM Ghazanfar,9ca68676
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DL Chahar,23eeb873
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,HH Pandya,dbe50b21
info,registry,people,JC Archer,5574750c
info,registry,people,JJ Bumrah,462411b3
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,M Krishnadas,e298c588
info,registry,people,N Burger,465aa633
info,registry,people,Naman Dhir,fffa744b
info,registry,people,R Parag,04a418e8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RG Sharma,740742ef
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,TA Boult,a818c1be
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,DL Chahar,4,0,,,,,,"",""
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,DL Chahar,6,0,,,,,,"",""
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,DL Chahar,4,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,DL Chahar,0,0,,,,,,"",""
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,DL Chahar,4,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,DL Chahar,4,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,JJ Bumrah,6,0,,,,,,"",""
ball,1,1.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,JJ Bumrah,1,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,JJ Bumrah,1,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,JJ Bumrah,6,0,,,,,,"",""
ball,1,1.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,JJ Bumrah,0,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,JJ Bumrah,0,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,TA Boult,6,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,TA Boult,6,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,TA Boult,1,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,TA Boult,6,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,TA Boult,0,1,1,,,,,"",""
ball,1,2.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,TA Boult,1,0,,,,,,"",""
ball,1,2.7,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,TA Boult,1,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,HH Pandya,0,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,HH Pandya,1,0,,,,,,"",""
ball,1,3.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,HH Pandya,1,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,HH Pandya,1,0,,,,,,"",""
ball,1,3.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,HH Pandya,1,0,,,,,,"",""
ball,1,3.6,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,HH Pandya,0,0,,,,,,"",""
ball,1,4.1,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,SN Thakur,6,0,,,,,,"",""
ball,1,4.2,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,SN Thakur,4,0,,,,,,"",""
ball,1,4.3,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,SN Thakur,1,0,,,,,,"",""
ball,1,4.4,Rajasthan Royals,YBK Jaiswal,V Suryavanshi,SN Thakur,1,0,,,,,,"",""
ball,1,4.5,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,SN Thakur,6,0,,,,,,"",""
ball,1,4.6,Rajasthan Royals,V Suryavanshi,YBK Jaiswal,SN Thakur,0,0,,,,,,caught,V Suryavanshi
ball,1,5.1,Rajasthan Royals,YBK Jaiswal,Dhruv Jurel,AM Ghazanfar,0,1,1,,,,,"",""
ball,1,5.2,Rajasthan Royals,YBK Jaiswal,Dhruv Jurel,AM Ghazanfar,1,0,,,,,,"",""
ball,1,5.3,Rajasthan Royals,Dhruv Jurel,YBK Jaiswal,AM Ghazanfar,2,0,,,,,,"",""
ball,1,5.4,Rajasthan Royals,Dhruv Jurel,YBK Jaiswal,AM Ghazanfar,0,0,,,,,,"",""
ball,1,5.5,Rajasthan Royals,Dhruv Jurel,YBK Jaiswal,AM Ghazanfar,0,0,,,,,,lbw,Dhruv Jurel
ball,1,5.6,Rajasthan Royals,R Parag,YBK Jaiswal,AM Ghazanfar,1,0,,,,,,"",""
ball,1,5.7,Rajasthan Royals,YBK Jaiswal,R Parag,AM Ghazanfar,4,0,,,,,,"",""
ball,1,6.1,Rajasthan Royals,R Parag,YBK Jaiswal,JJ Bumrah,1,0,,,,,,"",""
ball,1,6.2,Rajasthan Royals,YBK Jaiswal,R Parag,JJ Bumrah,0,0,,,,,,"",""
ball,1,6.3,Rajasthan Royals,YBK Jaiswal,R Parag,JJ Bumrah,1,0,,,,,,"",""
ball,1,6.4,Rajasthan Royals,R Parag,YBK Jaiswal,JJ Bumrah,4,0,,,,,,"",""
ball,1,6.5,Rajasthan Royals,R Parag,YBK Jaiswal,JJ Bumrah,1,0,,,,,,"",""
ball,1,6.6,Rajasthan Royals,YBK Jaiswal,R Parag,JJ Bumrah,1,0,,,,,,"",""
ball,1,7.1,Rajasthan Royals,YBK Jaiswal,R Parag,HH Pandya,1,0,,,,,,"",""
ball,1,7.2,Rajasthan Royals,R Parag,YBK Jaiswal,HH Pandya,1,0,,,,,,"",""
ball,1,7.3,Rajasthan Royals,YBK Jaiswal,R Parag,HH Pandya,4,0,,,,,,"",""
ball,1,7.4,Rajasthan Royals,YBK Jaiswal,R Parag,HH Pandya,1,0,,,,,,"",""
ball,1,7.5,Rajasthan Royals,R Parag,YBK Jaiswal,HH Pandya,0,0,,,,,,"",""
ball,1,7.6,Rajasthan Royals,R Parag,YBK Jaiswal,HH Pandya,6,0,,,,,,"",""
ball,1,8.1,Rajasthan Royals,YBK Jaiswal,R Parag,AM Ghazanfar,4,0,,,,,,"",""
ball,1,8.2,Rajasthan Royals,YBK Jaiswal,R Parag,AM Ghazanfar,1,0,,,,,,"",""
ball,1,8.3,Rajasthan Royals,R Parag,YBK Jaiswal,AM Ghazanfar,0,0,,,,,,"",""
ball,1,8.4,Rajasthan Royals,R Parag,YBK Jaiswal,AM Ghazanfar,6,0,,,,,,"",""
ball,1,8.5,Rajasthan Royals,R Parag,YBK Jaiswal,AM Ghazanfar,0,0,,,,,,caught,R Parag
ball,1,8.6,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,AM Ghazanfar,1,0,,,,,,"",""
ball,1,9.1,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,JJ Bumrah,0,0,,,,,,"",""
ball,1,9.2,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,JJ Bumrah,1,0,,,,,,"",""
ball,1,9.3,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,JJ Bumrah,0,1,1,,,,,"",""
ball,1,9.4,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,JJ Bumrah,6,0,,,,,,"",""
ball,1,9.5,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,JJ Bumrah,1,0,,,,,,"",""
ball,1,9.6,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,JJ Bumrah,0,0,,,,,,"",""
ball,1,9.7,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,JJ Bumrah,1,0,,,,,,"",""
ball,1,10.1,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,SN Thakur,2,0,,,,,,"",""
ball,1,10.2,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,SN Thakur,0,1,1,,,,,"",""
ball,1,10.3,Rajasthan Royals,SO Hetmyer,YBK Jaiswal,SN Thakur,1,0,,,,,,"",""
ball,1,10.4,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,SN Thakur,4,0,,,,,,"",""
ball,1,10.5,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,SN Thakur,0,1,1,,,,,"",""
ball,1,10.6,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,SN Thakur,0,0,,,,,,"",""
ball,1,10.7,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,SN Thakur,4,0,,,,,,"",""
ball,1,10.8,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,SN Thakur,0,1,1,,,,,"",""
ball,1,10.9,Rajasthan Royals,YBK Jaiswal,SO Hetmyer,SN Thakur,4,0,,,,,,"",""
ball,2,0.1,Mumbai Indians,RD Rickelton,RG Sharma,JC Archer,1,0,,,,,,"",""
ball,2,0.2,Mumbai Indians,RG Sharma,RD Rickelton,JC Archer,1,0,,,,,,"",""
ball,2,0.3,Mumbai Indians,RD Rickelton,RG Sharma,JC Archer,1,0,,,,,,"",""
ball,2,0.4,Mumbai Indians,RG Sharma,RD Rickelton,JC Archer,1,0,,,,,,"",""
ball,2,0.5,Mumbai Indians,RD Rickelton,RG Sharma,JC Archer,6,0,,,,,,"",""
ball,2,0.6,Mumbai Indians,RD Rickelton,RG Sharma,JC Archer,0,0,,,,,,caught,RD Rickelton
ball,2,1.1,Mumbai Indians,RG Sharma,SA Yadav,N Burger,3,0,,,,,,"",""
ball,2,1.2,Mumbai Indians,SA Yadav,RG Sharma,N Burger,6,0,,,,,,"",""
ball,2,1.3,Mumbai Indians,SA Yadav,RG Sharma,N Burger,0,1,1,,,,,"",""
ball,2,1.4,Mumbai Indians,SA Yadav,RG Sharma,N Burger,0,0,,,,,,"",""
ball,2,1.5,Mumbai Indians,SA Yadav,RG Sharma,N Burger,0,0,,,,,,caught,SA Yadav
ball,2,1.6,Mumbai Indians,Tilak Varma,RG Sharma,N Burger,2,0,,,,,,"",""
ball,2,1.7,Mumbai Indians,Tilak Varma,RG Sharma,N Burger,0,0,,,,,,"",""
ball,2,2.1,Mumbai Indians,RG Sharma,Tilak Varma,Sandeep Sharma,0,0,,,,,,"",""
ball,2,2.2,Mumbai Indians,RG Sharma,Tilak Varma,Sandeep Sharma,0,0,,,,,,"",""
ball,2,2.3,Mumbai Indians,RG Sharma,Tilak Varma,Sandeep Sharma,0,0,,,,,,lbw,RG Sharma
ball,2,2.4,Mumbai Indians,HH Pandya,Tilak Varma,Sandeep Sharma,1,0,,,,,,"",""
ball,2,2.5,Mumbai Indians,Tilak Varma,HH Pandya,Sandeep Sharma,0,0,,,,,,"",""
ball,2,2.6,Mumbai Indians,Tilak Varma,HH Pandya,Sandeep Sharma,0,1,1,,,,,"",""
ball,2,2.7,Mumbai Indians,Tilak Varma,HH Pandya,Sandeep Sharma,1,0,,,,,,"",""
ball,2,3.1,Mumbai Indians,Tilak Varma,HH Pandya,TU Deshpande,4,0,,,,,,"",""
ball,2,3.2,Mumbai Indians,Tilak Varma,HH Pandya,TU Deshpande,1,0,,,,,,"",""
ball,2,3.3,Mumbai Indians,HH Pandya,Tilak Varma,TU Deshpande,4,0,,,,,,"",""
ball,2,3.4,Mumbai Indians,HH Pandya,Tilak Varma,TU Deshpande,0,0,,,,,,"",""
ball,2,3.5,Mumbai Indians,HH Pandya,Tilak Varma,TU Deshpande,0,1,,,1,,,"",""
ball,2,3.6,Mumbai Indians,Tilak Varma,HH Pandya,TU Deshpande,1,0,,,,,,"",""
ball,2,4.1,Mumbai Indians,Tilak Varma,HH Pandya,Ravi Bishnoi,1,0,,,,,,"",""
ball,2,4.2,Mumbai Indians,HH Pandya,Tilak Varma,Ravi Bishnoi,4,0,,,,,,"",""
ball,2,4.3,Mumbai Indians,HH Pandya,Tilak Varma,Ravi Bishnoi,0,0,,,,,,caught,HH Pandya
ball,2,4.4,Mumbai Indians,Naman Dhir,Tilak Varma,Ravi Bishnoi,1,0,,,,,,"",""
ball,2,4.5,Mumbai Indians,Tilak Varma,Naman Dhir,Ravi Bishnoi,4,0,,,,,,"",""
ball,2,4.6,Mumbai Indians,Tilak Varma,Naman Dhir,Ravi Bishnoi,0,0,,,,,,caught,Tilak Varma
ball,2,5.1,Mumbai Indians,Naman Dhir,SE Rutherford,Sandeep Sharma,0,0,,,,,,"",""
ball,2,5.2,Mumbai Indians,Naman Dhir,SE Rutherford,Sandeep Sharma,2,0,,,,,,"",""
ball,2,5.3,Mumbai Indians,Naman Dhir,SE Rutherford,Sandeep Sharma,6,0,,,,,,"",""
ball,2,5.4,Mumbai Indians,Naman Dhir,SE Rutherford,Sandeep Sharma,0,0,,,,,,"",""
ball,2,5.5,Mumbai Indians,Naman Dhir,SE Rutherford,Sandeep Sharma,4,0,,,,,,"",""
ball,2,5.6,Mumbai Indians,Naman Dhir,SE Rutherford,Sandeep Sharma,2,0,,,,,,"",""
ball,2,6.1,Mumbai Indians,SE Rutherford,Naman Dhir,Ravi Bishnoi,2,0,,,,,,"",""
ball,2,6.2,Mumbai Indians,SE Rutherford,Naman Dhir,Ravi Bishnoi,2,0,,,,,,"",""
ball,2,6.3,Mumbai Indians,SE Rutherford,Naman Dhir,Ravi Bishnoi,0,1,1,,,,,"",""
ball,2,6.4,Mumbai Indians,SE Rutherford,Naman Dhir,Ravi Bishnoi,1,0,,,,,,"",""
ball,2,6.5,Mumbai Indians,Naman Dhir,SE Rutherford,Ravi Bishnoi,1,0,,,,,,"",""
ball,2,6.6,Mumbai Indians,SE Rutherford,Naman Dhir,Ravi Bishnoi,4,0,,,,,,"",""
ball,2,6.7,Mumbai Indians,SE Rutherford,Naman Dhir,Ravi Bishnoi,4,0,,,,,,"",""
ball,2,7.1,Mumbai Indians,Naman Dhir,SE Rutherford,TU Deshpande,4,0,,,,,,"",""
ball,2,7.2,Mumbai Indians,Naman Dhir,SE Rutherford,TU Deshpande,1,0,,,,,,"",""
ball,2,7.3,Mumbai Indians,SE Rutherford,Naman Dhir,TU Deshpande,6,0,,,,,,"",""
ball,2,7.4,Mumbai Indians,SE Rutherford,Naman Dhir,TU Deshpande,0,1,1,,,,,"",""
ball,2,7.5,Mumbai Indians,SE Rutherford,Naman Dhir,TU Deshpande,6,0,,,,,,"",""
ball,2,7.6,Mumbai Indians,SE Rutherford,Naman Dhir,TU Deshpande,0,0,,,,,,caught,SE Rutherford
ball,2,7.7,Mumbai Indians,SN Thakur,Naman Dhir,TU Deshpande,1,0,,,,,,"",""
ball,2,8.1,Mumbai Indians,SN Thakur,Naman Dhir,N Burger,4,0,,,,,,"",""
ball,2,8.2,Mumbai Indians,SN Thakur,Naman Dhir,N Burger,1,0,,,,,,"",""
ball,2,8.3,Mumbai Indians,Naman Dhir,SN Thakur,N Burger,0,0,,,,,,"",""
ball,2,8.4,Mumbai Indians,Naman Dhir,SN Thakur,N Burger,4,0,,,,,,"",""
ball,2,8.5,Mumbai Indians,Naman Dhir,SN Thakur,N Burger,0,0,,,,,,caught,Naman Dhir
ball,2,8.6,Mumbai Indians,DL Chahar,SN Thakur,N Burger,0,4,,,,4,,"",""
ball,2,9.1,Mumbai Indians,SN Thakur,DL Chahar,Sandeep Sharma,0,0,,,,,,"",""
ball,2,9.2,Mumbai Indians,SN Thakur,DL Chahar,Sandeep Sharma,0,1,1,,,,,"",""
ball,2,9.3,Mumbai Indians,SN Thakur,DL Chahar,Sandeep Sharma,0,0,,,,,,"",""
ball,2,9.4,Mumbai Indians,SN Thakur,DL Chahar,Sandeep Sharma,2,0,,,,,,"",""
ball,2,9.5,Mumbai Indians,SN Thakur,DL Chahar,Sandeep Sharma,0,1,1,,,,,"",""
ball,2,9.6,Mumbai Indians,SN Thakur,DL Chahar,Sandeep Sharma,0,0,,,,,,caught,SN Thakur
ball,2,9.7,Mumbai Indians,TA Boult,DL Chahar,Sandeep Sharma,1,0,,,,,,"",""
ball,2,9.8,Mumbai Indians,DL Chahar,TA Boult,Sandeep Sharma,4,0,,,,,,"",""
ball,2,10.1,Mumbai Indians,TA Boult,DL Chahar,JC Archer,0,0,,,,,,run out,TA Boult
ball,2,10.2,Mumbai Indians,DL Chahar,JJ Bumrah,JC Archer,0,0,,,,,,"",""
ball,2,10.3,Mumbai Indians,DL Chahar,JJ Bumrah,JC Archer,1,0,,,,,,"",""
ball,2,10.4,Mumbai Indians,JJ Bumrah,DL Chahar,JC Archer,4,0,,,,,,"",""
ball,2,10.5,Mumbai Indians,JJ Bumrah,DL Chahar,JC Archer,1,0,,,,,,"",""
ball,2,10.6,Mumbai Indians,DL Chahar,JJ Bumrah,JC Archer,1,0,,,,,,"",""
