Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
114,RD Rickelton,19,29.17,152.17,75.81,863.59,54.54
115,A Badoni,53,26.24,138.66,54.83,1683.33,54.31
116,CH Morris,81,22.07,155.28,60.52,1004.64,54.31
117,Urvil Patel,3,22.67,212.5,82.35,208.25,54.23
118,EJG Morgan,75,22.68,122.47,59.17,2170.24,54.19
119,Ashutosh Sharma,19,27.47,164.8,67.96,700.4,54.04
120,V Shankar,69,26.23,129.79,51.91,1914.39,54.02
121,A Raghuvanshi,23,32.25,147.6,62.33,1041.3,53.86
122,SM Curran,64,24.92,136.39,58.78,1563.69,53.86
123,DJ Hussey,61,26.98,122.98,54.46,2044.49,53.81
124,PJ Cummins,72,20.4,152.24,65.69,994.12,53.58
125,DJ Hooda,107,17.61,127.62,51.04,2309.31,53.53
126,M Shahrukh Khan,51,20.75,149.1,66.13,1195.05,53.39
127,Harbhajan Singh,163,15.15,137.91,68.19,1318.46,53.19
128,JP Inglis,11,30.89,162.57,71.94,498.29,53.04
129,V Nigam,17,19.25,179.07,77.92,320.53,53.03
